Epi_week,State,Percentage
2024_29,TO,0
2024_29,MA,0
2024_29,PI,0
2024_29,CE,>0-5
2024_29,RN,0
2024_29,PB,0
2024_29,PE,>0-5
2024_29,AL,>0-5
2024_29,SE,0
2024_29,BA,0
2024_29,MS,0
2024_29,MT,0
2024_29,GO,0
2024_29,MG,0
2024_29,ES,0
2024_29,RJ,0
2024_29,SP,0
2024_29,PR,0
2024_29,SC,0
2024_29,RS,0
2024_30,RO,0
2024_30,AC,0
2024_30,AM,0
2024_30,RR,0
2024_30,PA,0
2024_30,AP,0
2024_30,TO,0
2024_30,MA,0
2024_30,PI,0
2024_30,CE,0
2024_30,RN,0
2024_30,PB,0
2024_30,PE,0
2024_30,AL,>0-5
2024_30,SE,0
2024_30,BA,0
2024_30,MS,0
2024_30,MT,0
2024_30,GO,0
2024_30,MG,0
2024_30,ES,>0-5
2024_30,RJ,0
2024_30,SP,0
2024_30,PR,0
2024_30,SC,0
2024_30,RS,0
2024_31,RO,0
2024_31,AC,0
2024_31,AM,0
2024_31,RR,0
2024_31,PA,0
2024_31,AP,>5-10
2024_31,TO,0
2024_31,MA,0
2024_31,PI,0
2024_31,CE,>0-5
2024_31,RN,0
2024_31,PB,0
2024_31,PE,0
2024_31,AL,>0-5
2024_31,SE,0
2024_31,BA,0
2024_31,MS,0
2024_31,MT,0
2024_31,GO,0
2024_31,MG,0
2024_31,ES,>0-5
2024_31,RJ,0
2024_31,SP,0
2024_31,PR,0
2024_31,SC,0
2024_31,RS,0
2024_32,RO,0
2024_32,AC,0
2024_32,AM,0
2024_32,RR,0
2024_32,PA,0
2024_32,AP,>5-10
2024_32,TO,0
2024_32,MA,0
2024_32,PI,0
2024_32,CE,>0-5
2024_32,RN,0
2024_32,PB,0
2024_32,PE,>0-5
2024_32,AL,>0-5
2024_32,SE,0
2024_32,BA,0
2024_32,MS,0
2024_32,MT,0
2024_32,GO,0
2024_32,MG,0
2024_32,ES,>0-5
2024_32,RJ,0
2024_32,SP,0
2024_32,PR,0
2024_32,SC,0
2024_32,RS,0
2024_33,RO,0
2024_33,AC,0
2024_33,AM,0
2024_33,RR,0
2024_33,PA,0
2024_33,AP,>5-10
2024_33,TO,0
2024_33,MA,0
2024_33,PI,0
2024_33,CE,>0-5
2024_33,RN,0
2024_33,PB,0
2024_33,PE,0
2024_33,AL,>0-5
2024_33,SE,0
2024_33,BA,0
2024_33,MS,0
2024_33,MT,0
2024_33,GO,0
2024_33,MG,0
2024_33,ES,0
2024_33,RJ,0
2024_33,SP,0
2024_33,PR,0
2024_33,SC,0
2024_33,RS,0
2024_34,RO,0
2024_34,AC,0
2024_34,AM,0
2024_34,RR,0
2024_34,PA,0
2024_34,AP,>5-10
2024_34,TO,0
2024_34,MA,0
2024_34,PI,0
2024_34,CE,>0-5
2024_34,RN,0
2024_34,PB,0
2024_34,PE,0
2024_34,AL,0
2024_34,SE,0
2024_34,BA,0
2024_34,MS,0
2024_34,MT,0
2024_34,GO,0
2024_34,MG,0
2024_34,ES,0
2024_34,RJ,0
2024_34,SP,0
2024_34,PR,0
2024_34,SC,0
2024_34,RS,0
2024_35,RO,0
2024_35,AC,0
2024_35,AM,0
2024_35,RR,0
2024_35,PA,0
2024_35,AP,>5-10
2024_35,TO,0
2024_35,MA,0
2024_35,PI,0
2024_35,CE,0
2024_35,RN,0
2024_35,PB,0
2024_35,PE,0
2024_35,AL,0
2024_35,SE,0
2024_35,BA,0
2024_35,MS,0
2024_35,MT,0
2024_35,GO,0
2024_35,MG,0
2024_35,ES,0
2024_35,RJ,0
2024_35,SP,0
2024_35,PR,0
2024_35,SC,0
2024_35,RS,0
2024_36,RO,0
2024_36,AC,0
2024_36,AM,0
2024_36,RR,0
2024_36,PA,0
2024_36,AP,0
2024_36,TO,0
2024_36,MA,0
2024_36,PI,0
2024_36,CE,0
2024_36,RN,0
2024_36,PB,0
2024_36,PE,0
2024_36,AL,0
2024_36,SE,0
2024_36,BA,0
2024_36,MS,0
2024_36,MT,0
2024_36,GO,0
2024_36,MG,0
2024_36,ES,0
2024_36,RJ,0
2024_36,SP,0
2024_36,PR,0
2024_36,SC,0
2024_36,RS,0
2024_37,RO,0
2024_37,AC,0
2024_37,AM,0
2024_37,RR,0
2024_37,PA,0
2024_37,AP,0
2024_37,TO,0
2024_37,MA,0
2024_37,PI,0
2024_37,CE,0
2024_37,RN,0
2024_37,PB,0
2024_37,PE,0
2024_37,AL,0
2024_37,SE,0
2024_37,BA,0
2024_37,MS,0
2024_37,MT,0
2024_37,GO,0
2024_37,MG,0
2024_37,ES,>0-5
2024_37,RJ,0
2024_37,SP,0
2024_37,PR,0
2024_37,SC,0
2024_37,RS,0
2024_38,RO,0
2024_38,AC,0
2024_38,AM,0
2024_38,RR,0
2024_38,PA,0
2024_38,AP,0
2024_38,TO,0
2024_38,MA,0
2024_38,PI,0
2024_38,CE,0
2024_38,RN,0
2024_38,PB,0
2024_38,PE,0
2024_38,AL,0
2024_38,SE,0
2024_38,BA,0
2024_38,MS,0
2024_38,MT,0
2024_38,GO,0
2024_38,MG,0
2024_38,ES,>0-5
2024_38,RJ,0
2024_38,SP,0
2024_38,PR,0
2024_38,SC,0
2024_38,RS,0
2024_39,RO,0
2024_39,AC,0
2024_39,AM,0
2024_39,RR,0
2024_39,PA,0
2024_39,AP,0
2024_39,TO,0
2024_39,MA,0
2024_39,PI,0
2024_39,CE,0
2024_39,RN,0
2024_39,PB,0
2024_39,PE,0
2024_39,AL,0
2024_39,SE,0
2024_39,BA,0
2024_39,MS,0
2024_39,MT,0
2024_39,GO,0
2024_39,MG,0
2024_39,ES,>0-5
2024_39,RJ,0
2024_39,SP,0
2024_39,PR,0
2024_39,SC,0
2024_39,RS,0
2024_40,RO,0
2024_40,AC,0
2024_40,AM,0
2024_40,RR,0
2024_40,PA,0
2024_40,AP,0
2024_40,TO,0
2024_40,MA,0
2024_40,PI,0
2024_40,CE,0
2024_40,RN,0
2024_40,PB,0
2024_40,PE,0
2024_40,AL,0
2024_40,SE,0
2024_40,BA,0
2024_40,MS,0
2024_40,MT,0
2024_40,GO,0
2024_40,MG,0
2024_40,ES,>0-5
2024_40,RJ,0
2024_40,SP,0
2024_40,PR,0
2024_40,SC,0
2024_40,RS,0
2024_41,RO,0
2024_41,AC,0
2024_41,AM,0
2024_41,RR,0
2024_41,PA,0
2024_41,AP,0
2024_41,TO,0
2024_41,MA,0
2024_41,PI,0
2024_41,CE,0
2024_41,RN,0
2024_41,PB,0
2024_41,PE,0
2024_41,AL,0
2024_41,SE,0
2024_41,BA,0
2024_41,MS,0
2024_41,MT,0
2024_41,GO,0
2024_41,MG,0
2024_41,ES,>0-5
2024_41,RJ,0
2024_41,SP,0
2024_41,PR,0
2024_41,SC,0
2024_41,RS,0
2024_42,RO,0
2024_42,AC,0
2024_42,AM,0
2024_42,RR,0
2024_42,PA,0
2024_42,AP,0
2024_42,TO,0
2024_42,MA,0
2024_42,PI,0
2024_42,CE,0
2024_42,RN,0
2024_42,PB,0
2024_42,PE,0
2024_42,AL,0
2024_42,SE,0
2024_42,BA,0
2024_42,MS,0
2024_42,MT,0
2024_42,GO,0
2024_42,MG,0
2024_42,ES,>0-5
2024_42,RJ,0
2024_42,SP,0
2024_42,PR,0
2024_42,SC,0
2024_42,RS,0
2024_43,RO,0
2024_43,AC,0
2024_43,AM,0
2024_43,RR,0
2024_43,PA,0
2024_43,AP,0
2024_43,TO,0
2024_43,MA,0
2024_43,PI,0
2024_43,CE,0
2024_43,RN,0
