Epi_week,Category,OROV_cases
2025_06,Urban,330
2025_07,Rural,408
2025_07,Urban,276
2025_08,Rural,319
2025_08,Urban,304
2025_09,Rural,243
2025_09,Urban,192
2025_10,Rural,124
2025_10,Urban,120
2025_11,Rural,259
2025_11,Urban,198
2025_12,Rural,244
2025_12,Urban,149
2025_13,Rural,360
2025_13,Urban,213
2025_14,Rural,431
2025_14,Urban,270
2025_15,Rural,376
2025_15,Urban,302
2025_16,Rural,226
2025_16,Urban,167
2025_17,Rural,261
2025_17,Urban,307
2025_18,Rural,294
2025_18,Urban,223
2025_19,Rural,310
2025_19,Urban,175
2025_20,Rural,216
2025_20,Urban,120
2025_21,Rural,126
2025_21,Urban,73
2025_22,Rural,94
2025_22,Urban,52
2025_23,Rural,46
2025_23,Urban,56
2025_24,Rural,36
2025_24,Urban,24
2025_25,Rural,19
2025_25,Urban,15
2025_26,Rural,16
2025_26,Urban,13
2025_27,Rural,10
2025_27,Urban,7
2025_28,Rural,16
2025_28,Urban,8
2025_29,Rural,10
2025_29,Urban,11
2025_30,Rural,11
2025_30,Urban,8
2025_31,Rural,6
2025_31,Urban,5
2025_32,Rural,5
2025_32,Urban,3
2025_33,Rural,6
2025_33,Urban,5
2025_34,Rural,2
2025_34,Urban,1
2025_35,Rural,1
2025_35,Urban,1
2025_36,Rural,1
2025_36,Urban,3
2025_37,Rural,0
2025_37,Urban,0
